text,label
"I'm being forced to work long hours without pay.", 1
"The weather is beautiful today.", 0
"I'm excited about starting a new job next week.", 0
"I'm scared and I can't leave.", 1
"I was promised a good job, but now I'm being forced to work in terrible conditions.", 1
"I don't have control over my own life.", 1
"I love spending time with my friends and family.", 0
"I was forced into labor against my will.", 1
"The sunset was breathtaking this evening.", 0
"I fear for my safety and freedom.", 1
"Learning new things brings me joy.", 0
"I need help escaping from a dangerous situation.", 1
"I enjoy volunteering at the local community center.", 0
"I'm being threatened with violence if I speak up.", 1
"Spending time in nature helps me relax.", 0
"I've witnessed suspicious activities in my neighborhood.", 1
"Attending a peaceful protest empowers me.", 0
"I feel trapped and unable to leave.", 1
"I had a great time at the art exhibition.", 0
"I'm being controlled by others, and I need help breaking free.", 1
"Cooking is one of my favorite hobbies.", 0
"I'm excited about the possibilities that each day brings.", 0
"I've been exploited for financial gain by others.", 1
"I appreciate the support of my close-knit community.", 0
"I adopted a new pet from the local shelter.", 0
"I participated in a workshop on mental health awareness.", 0
"I'm afraid I'll never be able to trust again.", 1
"I'm grateful for the kindness of strangers.", 0
"I enjoy connecting with others through shared interests.", 0
"I'm being used for financial exploitation, and I need assistance.", 1
"I had a fun day at the beach with friends.", 0
"I'm thankful for the positive people in my life.", 0
"I'm afraid I'll never be able to love again.", 1
"I find solace in moments of quiet reflection.", 0
"I'm afraid I'll never be able to heal from this trauma.", 1
"I value the importance of empathy and understanding.", 0
"I'm afraid I'll never be able to escape the cycle of abuse.", 1
"I believe in the power of kindness and compassion.", 0
"I'm dedicated to creating a positive and inclusive environment.", 0
"I'm afraid I'll never be able to find peace.", 1
"I find inspiration in the stories of resilience and overcoming challenges.", 0
"I'm dedicated to personal development and self-improvement.", 0
"I believe in the potential for positive change in the world.", 0
"I appreciate the beauty of a starry night sky.", 0
"I find joy in acts of kindness and generosity.", 0
"I'm inspired by the courage of individuals facing challenges.", 0
"I believe in the power of positivity and optimism.", 0
"I enjoy spending time in my garden and connecting with nature.", 0
"I believe in the potential for kindness to create ripple effects.", 0
"I'm afraid I'll never be able to live a normal life again.", 1
"I'm afraid to speak up due to the potential for violence.", 1
"I'm being exploited for financial gain without my consent.", 1
"I'm living in constant fear of being discovered.", 1
"I'm being denied the right to make choices for myself.", 1
"I'm afraid I'll never be able to trust my own judgment.", 1
"I'm afraid I'll never be able to rebuild my sense of self.", 1
"I'm afraid I'll never be able to break free from this control.", 1
"I'm afraid I'll never be able to reconnect with my loved ones.", 1
